category,orders,total_revenue,pct_of_total_revenue,cumulative_pct_revenue,revenue_rank
beleza_saude,8647,1233131.72,9.33,9.33,1
relogios_presentes,5495,1166176.98,8.82,18.15,2
cama_mesa_banho,9272,1023434.76,7.74,25.89,3
esporte_lazer,7530,954852.55,7.22,33.11,4
informatica_acessorios,6530,888724.61,6.72,39.83,5
moveis_decoracao,6307,711927.6900000001,5.38,45.22,6
utilidades_domesticas,5743,615628.69,4.66,49.87,7
cool_stuff,3559,610204.1,4.62,54.49,8
automotivo,3810,578966.65,4.38,58.87,9
brinquedos,3804,471286.48,3.56,62.43,10
ferramentas_jardim,3448,470495.27999999997,3.56,65.99,11
bebes,2809,400421.84,3.03,69.02,12
perfumaria,3086,390144.65,2.95,71.97,13
telefonia,4093,309860.23,2.34,74.31,14
moveis_escritorio,1254,268154.31,2.03,76.34,15
papelaria,2264,223788.69,1.69,78.03,16
pcs,177,218684.14,1.65,79.69,17
pet_shop,1688,211695.64,1.6,81.29,18
instrumentos_musicais,611,184315.74,1.39,82.68,19
eletroportateis,609,182754.12,1.38,84.06,20
unknown,1392,170726.63,1.29,85.36,21
eletronicos,2517,155043.93,1.17,86.53,22
fashion_bolsas_e_acessorios,1820,149329.39,1.13,87.66,23
consoles_games,1018,148003.37,1.12,88.78,24
construcao_ferramentas_construcao,736,142108.49,1.07,89.85,25
malas_acessorios,1019,138701.63,1.05,90.9,26
eletrodomesticos_2,227,107953.95,0.82,91.72,27
casa_construcao,483,81407.57,0.62,92.33,28
eletrodomesticos,747,78832.48,0.6,92.93,29
agro_industria_e_comercio,177,70566.1,0.53,93.46,30
moveis_sala,414,67350.7,0.51,93.97,31
casa_conforto,392,58008.450000000004,0.44,94.41,32
telefonia_fixa,212,55315.21,0.42,94.83,33
climatizacao,246,53323.56,0.4,95.23,34
audio,348,50570.6,0.38,95.62,35
portateis_casa_forno_e_cafe,72,46589.56,0.35,95.97,36
moveis_cozinha_area_de_servico_jantar_e_jardim,241,45531.98,0.34,96.31,37
livros_interesse_geral,496,45302.15,0.34,96.66,38
construcao_ferramentas_iluminacao,242,39957.0,0.3,96.96,39
construcao_ferramentas_seguranca,159,38773.22,0.29,97.25,40
industria_comercio_e_negocios,232,38498.81,0.29,97.54,41
alimentos,441,28731.15,0.22,97.76,42
market_place,274,27795.77,0.21,97.97,43
construcao_ferramentas_jardim,190,25096.28,0.19,98.16,44
artes,195,23657.3,0.18,98.34,45
fashion_calcados,235,23001.46,0.17,98.51,46
bebidas,287,21529.84,0.16,98.68,47
sinalizacao_e_seguranca,138,21315.05,0.16,98.84,48
moveis_quarto,90,19051.8,0.14,98.98,49
livros_tecnicos,256,18702.23,0.14,99.12,50
construcao_ferramentas_ferramentas,97,15903.95,0.12,99.24,51
alimentos_bebidas,221,14942.88,0.11,99.36,52
fashion_roupa_masculina,106,10452.33,0.08,99.43,53
fashion_underwear_e_moda_praia,117,9305.95,0.07,99.5,54
artigos_de_natal,125,8737.84,0.07,99.57,55
tablets_impressao_imagem,79,7528.41,0.06,99.63,56
cine_foto,63,6674.47,0.05,99.68,57
musica,38,6034.35,0.05,99.72,58
dvds_blu_ray,56,4542.59,0.03,99.76,59
artigos_de_festas,38,4465.1900000000005,0.03,99.79,60
livros_importados,50,4418.86,0.03,99.83,61
moveis_colchao_e_estofado,37,4323.38,0.03,99.86,62
portateis_cozinha_e_preparadores_de_alimentos,13,3933.63,0.03,99.89,63
fashion_roupa_feminina,36,2634.94,0.02,99.91,64
fashion_esporte,26,2094.52,0.02,99.92,65
la_cuisine,13,2054.99,0.02,99.94,66
artes_e_artesanato,23,1814.01,0.01,99.95,67
fraldas_higiene,25,1500.79,0.01,99.96,68
pc_gamer,7,1306.95,0.01,99.97,69
flores,29,1110.04,0.01,99.98,70
casa_conforto_2,24,760.27,0.01,99.99,71
cds_dvds_musicais,12,730.0,0.01,99.99,72
fashion_roupa_infanto_juvenil,7,519.95,0.0,100.0,73
seguros_e_servicos,2,283.28999999999996,0.0,100.0,74
